[1, 120.0, 120.0, 116.0, 2.0, 10.3333, 10.3333, 1734712.4491]
[0.01, 158.0, 2.375, 152.0, 0.25, 8.0, 8.0, 1468729.5362]
[0.0067, 110.0, 0.8571, 0.8837, 0.25, 176.0, 3.0, 1562729.6176]
[0.0357, 152.0, 1.8235, 152.0, 2.0, 2.0, 2.0, 905291.4565]
[0.0192, 116.0, 5.2727, 116.0, 1.1667, 3.0, 1.1667, 0]
[0.0238, 154.0, 2.3636, 152.0, 0.25, 2.0, 1.0435, 3359215.4597]
[0.0833, 116.0, 2.0714, 1.25, 1.0435, 176.0, 8.0, 372072.4166]
[0.0556, 110.0, 1.375, 116.0, 0.25, 3.0, 8.0, 2092792.026]
[0.025, 124.0, 0.7619, 124.0, 1.0435, 8.0, 4.0, 1487890.8055]
[1, 152.0, 3.0588, 154.0, 2.0, 9.0, 9.0, 0]
[1, 116.0, 19.3333, 116.0, 9.0, 10.3333, 10.3333, 1360086.7372]
[1, 124.0, 6.8889, 124.0, 4.0, 2.0, 9.0, 1451209.4386]
[0.0083, 158.0, 1.1887, 158.0, 0.25, 1.1667, 3.0, 0]
[0.0179, 7.25, 2.3333, 116.0, 0.25, 1.1667, 3.0, 877421.1554]
[0.125, 158.0, 0.9487, 154.0, 10.3333, 8.0, 10.3333, 722054.3531]
[0.0238, 120.0, 0.7308, 7.25, 0.25, 1.1667, 8.0, 0]
[1, 154.0, 2.9231, 12.8333, 0.25, 2.0, 10.3333, 1739265.8259]
[0.0263, 158.0, 158.0, 158.0, 1.1667, 4.0, 44.0, 947846.3792]
[0.0106, 20.0, 1.3, 1.0526, 3.0, 8.0, 8.0, 493340.7648]
[0.0714, 4.8333, 1.5, 120.0, 1.1667, 8.0, 3.0, 0]
[1, 9.6667, 4.1333, 124.0, 0.25, 1.1667, 2.0, 1613303.6615]
[0.125, 118.0, 1.9, 19.0, 2.0, 2.0, 2.0, 0]
[0.0147, 108.0, 0.6957, 3.0, 0.25, 1.1667, 3.0, 126724.8169]
[0.0111, 108.0, 0.2683, 7.6, 0.25, 10.3333, 8.0, 1315276.5663]
[0.0156, 124.0, 7.5, 20.6667, 4.0, 4.0, 2.0, 2412539.8698]
[1, 124.0, 124.0, 116.0, 3.0, 3.0, 3.0, 3579449.8779]
[1, 110.0, 14.5, 18.3333, 4.0, 2.0, 3.0, 0]
[0.0357, 154.0, 0.8983, 2.75, 4.25, 10.3333, 10.3333, 3325986.6558]
[1, 116.0, 1.2609, 116.0, 9.0, 4.25, 4.25, 112359.2352]
[0.0152, 154.0, 158.0, 158.0, 1.1667, 4.25, 2.0, 0]
[0.0556, 110.0, 1.0377, 1.1111, 176.0, 1.0435, 176.0, 1946128.3157]
[0.0082, 5.9231, 1.6286, 2.6923, 1.1667, 8.0, 3.0, 325032.0586]
[0.0217, 120.0, 116.0, 19.3333, 8.0, 8.0, 44.0, 0]
[0.0263, 108.0, 118.0, 108.0, 8.0, 8.0, 44.0, 0]
[1.5, 4.6154, 124.0, 120.0, 176.0, 8.0, 176.0, 24457.0382]
[0.0161, 116.0, 1.6842, 116.0, 0.25, 8.0, 8.0, 1007131.8959]
[0.02, 116.0, 120.0, 124.0, 9.0, 9.0, 9.0, 392627.1766]
[0.25, 158.0, 5.5, 152.0, 9.0, 10.3333, 2.0, 531805.6143]
[0.0147, 110.0, 1.5714, 116.0, 0.25, 1.1667, 3.0, 2042135.9642]
[0.0208, 120.0, 0.825, 0.4444, 0.25, 1.0435, 8.0, 3170240.6835]
[0.0217, 108.0, 2.2692, 0.6667, 0.25, 1.1667, 3.0, 2544247.2742]
[0.0079, 124.0, 0.55, 1.2273, 1.1667, 8.0, 14.4, 1889263.7917]
[0.1667, 108.0, 1.6364, 1.9032, 0.25, 2.0, 2.0, 2297653.5395]
[1, 120.0, 1.6452, 0.5405, 1.1667, 9.0, 10.3333, 1225249.1456]
[0.0143, 13.5, 118.0, 108.0, 0.25, 8.0, 8.0, 0]
[0.125, 124.0, 1.7647, 124.0, 0.25, 1.1667, 3.0, 0]
[0.0833, 152.0, 7.6, 154.0, 1.1667, 3.0, 8.0, 2788518.0635]
[1, 116.0, 2.32, 116.0, 0.25, 3.0, 3.0, 2711479.0887]
[1, 116.0, 116.0, 0.9032, 1.1667, 9.0, 10.3333, 284510.3336]
[0.1667, 124.0, 2.3077, 1.7576, 2.0, 8.0, 8.0, 0]
[1, 116.0, 110.0, 116.0, 3.0, 10.3333, 10.3333, 0]
[0.0082, 3.5909, 6.3333, 158.0, 8.0, 2.0, 8.0, 382859.642]
[0.1, 114.0, 114.0, 108.0, 1.0, 1.0, 1.0, 915051.668]
[1, 108.0, 4.5385, 118.0, 1.0435, 1.0435, 8.0, 423108.2181]
[0.0417, 152.0, 1.1852, 2.8519, 0.25, 1.1667, 8.0, 186382.5061]
[0.0104, 116.0, 0.6038, 8.5714, 1.1667, 3.0, 3.0, 705472.1725]
[0.0086, 2.4545, 0.8906, 118.0, 1.0435, 8.0, 8.0, 1823613.4255]
[0.0625, 108.0, 1.6389, 114.0, 0.25, 2.0, 1.0435, 541905.4516]
[0.0098, 1.6522, 0.4932, 2.9231, 0.25, 3.0, 8.0, 331539.9512]
